source_genesymbol	target_genesymbol
TNF	RIPK1
FASLG	TNFRSF10B
TNF	TRADD
TRADD	TNF
TNF	FAS
PRKACA	PIK3R1
IKBKB	TNFRSF1A
TNFRSF1A	IKBKB
PPP3CA	PRKAR2A
PPP3CB	PRKAR2A
PPP3CC	PRKAR2A
TNF	BCL2
AKT1	CASP3
CASP3	AKT1
CAPN1	TP53
CAPN2	CASP9
AKT1	FAS
MAP3K14	NFKBIA
PIK3R1	PIK3CA
PIK3CA	PIK3R1
PRKACA	CSF2RB
PRKACA	FAS
PRKACB	TP53
PRKAR2B	PRKAR2A
IKBKB	TP53
PIK3CA	CSF2RB
PRKACA	PIK3CG
ATM	RELA
BCL2L1	CYCS
MAP3K14	IKBKG
BCL2	CASP8
PIK3R1	PIK3CB
XIAP	AIFM1
AKT1	IKBKG
TP53	BCL2L1
BCL2L1	TP53
RIPK1	MAP3K14
MAP3K14	RIPK1
TRAF2	CASP8
CFLAR	NFKB1
NFKB1	CFLAR
CASP8	CASP10
CASP8	MAP3K14
MAP3K14	CASP8
TNFRSF1A	FADD
IRAK1	IL1RAP
MYD88	IL1RAP
IRAK2	MYD88
PIK3R1	PIK3CG
PIK3R2	PIK3CB
PIK3R2	PIK3CG
PIK3R3	PIK3CB
NFKB1	IKBKG
IKBKG	NFKB1
BIRC2	CASP8
BIRC2	FADD
CFLAR	TRADD
CFLAR	RIPK1
RIPK1	CFLAR
BIRC2	CFLAR
CHUK	TNFRSF1A
TNFRSF1A	CHUK
TNFRSF1A	IKBKG
RIPK1	IKBKB
TRADD	IKBKB
AKT1	IKBKB
PRKACA	NFKBIA
XIAP	APAF1
XIAP	CASP6
IKBKB	IRAK1
IRAK1	IKBKB
IRAK3	MYD88
IRAK1	IRAK2
IRAK1	IRAK3
IRAK3	IRAK1
IKBKB	CASP8
CASP8	IKBKB
APAF1	CASP3
CASP3	APAF1
TNFSF10	CASP8
CHUK	CASP8
CASP8	CHUK
CASP10	MAP3K14
CASP3	NFKBIA
FADD	MYD88
MYD88	FADD
IRAK1	FADD
IRAK1	CHUK
TNF	CHUK
TNFRSF10A	CASP8
TNFRSF10B	CASP8
RIPK1	CHUK
IRAK2	IRAK3
BIRC3	CASP8
TP53	RELA
IRAK1	IKBKG
TRADD	IKBKG
PIK3R1	FASLG
TNF	IKBKG
BCL2L1	BCL2
FADD	BID
FAS	BID
FASLG	BID
PRKX	PRKAR2A
PRKX	PRKAR1A
CHUK	TP53
NTRK1	PIK3R1
CASP3	PPP3CA
IKBKB	CFLAR
CAPN1	IL1A
IL3	PIK3CA
PRKACA	BCL2
CASP8	IKBKG
FADD	IKBKG
CASP3	BID
BCL2	CYCS
RIPK1	NFKB1
AKT1	AKT2
